mass,limit_p1,limit_p2,limit_m1,limit_m2,limit_exp,limit_obs,nominal_cross-section
700,7.0693,9.7881,3.5219,2.6327,4.9556,4.1545,37.8700
750,4.6572,6.5021,2.2650,1.6728,3.2198,3.5658,33.9900
800,3.2560,4.6080,1.5179,1.1102,2.2204,3.3961,30.5200
850,2.5326,3.5842,1.1958,0.8771,1.7271,2.7221,27.4200
900,2.0457,2.9050,0.9187,0.6702,1.3617,1.0766,24.6800
950,1.7193,2.4575,0.7788,0.5633,1.1630,1.1406,22.2600
1000,1.4460,2.0749,0.6379,0.4614,0.9525,1.1816,20.1100
1050,1.2399,1.7985,0.5428,0.3892,0.8167,0.8507,18.1800
1100,1.0721,1.5615,0.4645,0.3330,0.6988,0.6462,16.4500
1150,0.9354,1.3782,0.4011,0.2876,0.6035,0.4810,14.8900
1200,0.8276,1.2318,0.3495,0.2461,0.5339,0.3739,13.5000
1250,0.7510,1.1178,0.3172,0.2233,0.4845,0.4862,12.2500
1300,0.6798,1.0177,0.2813,0.1981,0.4297,0.5212,11.1400
1350,0.6182,0.9344,0.2519,0.1740,0.3908,0.4266,10.1300
1400,0.5688,0.8617,0.2295,0.1585,0.3560,0.3619,9.2280
1450,0.5234,0.8017,0.2074,0.1419,0.3243,0.4937,8.4070
1500,0.4830,0.7465,0.1899,0.1286,0.2993,0.5623,7.6610
1550,0.4503,0.6969,0.1739,0.1165,0.2763,0.4408,6.9850
1600,0.4207,0.6570,0.1613,0.1069,0.2582,0.3278,6.3700
1650,0.3913,0.6146,0.1471,0.0975,0.2355,0.2629,5.8110
1700,0.3657,0.5791,0.1364,0.0894,0.2201,0.2245,5.3020
1750,0.3450,0.5487,0.1264,0.0819,0.2056,0.1809,4.8410
1800,0.3254,0.5216,0.1181,0.0766,0.1922,0.1588,4.4220
1850,0.3070,0.4957,0.1087,0.0716,0.1796,0.1650,4.0420
1900,0.2931,0.4732,0.1020,0.0656,0.1714,0.1654,3.6960
1950,0.2792,0.4537,0.0963,0.0619,0.1618,0.1496,3.3810
2000,0.2656,0.4360,0.0908,0.0584,0.1525,0.1316,3.0930
2050,0.2548,0.4191,0.0855,0.0544,0.1450,0.1193,2.8280
2100,0.2452,0.4050,0.0813,0.0515,0.1402,0.1123,2.5860
2150,0.2364,0.3943,0.0769,0.0487,0.1327,0.1078,2.3630
2200,0.2292,0.3837,0.0739,0.0462,0.1287,0.1047,2.1600
2250,0.2207,0.3715,0.0702,0.0434,0.1234,0.1019,1.9740
2300,0.2148,0.3607,0.0677,0.0418,0.1190,0.0998,1.8050
2350,0.2090,0.3494,0.0648,0.0401,0.1153,0.0985,1.6510
2400,0.2041,0.3397,0.0627,0.0385,0.1121,0.0970,1.5100
2450,0.1994,0.3291,0.0604,0.0369,0.1086,0.0954,1.3810
2500,0.1959,0.3218,0.0588,0.0357,0.1062,0.0944,1.2640
2550,0.1927,0.3166,0.0576,0.0347,0.1044,0.0939,1.1560
2600,0.1903,0.3114,0.0563,0.0337,0.1027,0.0932,1.0570
2650,0.1886,0.3059,0.0551,0.0327,0.1009,0.0928,0.9657
2700,0.1858,0.3002,0.0538,0.0317,0.0990,0.0921,0.8816
2750,0.1843,0.2964,0.0529,0.0313,0.0978,0.0915,0.8042
2800,0.1815,0.2920,0.0521,0.0305,0.0963,0.0908,0.7333
2850,0.1796,0.2889,0.0513,0.0298,0.0953,0.0904,0.6684
2900,0.1786,0.2849,0.0501,0.0294,0.0940,0.0897,0.6090
2950,0.1761,0.2810,0.0494,0.0290,0.0927,0.0891,0.5549
3000,0.1746,0.2784,0.0487,0.0283,0.0918,0.0884,0.5056
3050,0.1727,0.2755,0.0479,0.0277,0.0909,0.0879,0.4607
3100,0.1714,0.2722,0.0474,0.0274,0.0898,0.0872,0.4198
3150,0.1704,0.2696,0.0469,0.0271,0.0889,0.0866,0.3825
3200,0.1690,0.2662,0.0463,0.0268,0.0878,0.0859,0.3485
3250,0.1675,0.2649,0.0459,0.0263,0.0874,0.0856,0.3173
3300,0.1670,0.2631,0.0455,0.0261,0.0868,0.0852,0.2885
3350,0.1663,0.2619,0.0453,0.0260,0.0864,0.0851,0.2617
3400,0.1663,0.2620,0.0451,0.0257,0.0864,0.0850,0.2366
3450,0.1670,0.2620,0.0454,0.0257,0.0864,0.0856,0.2127
3500,0.1690,0.2651,0.0457,0.0260,0.0874,0.0865,0.1897
